"site","year","daynum.tenth","daynum.median","daynum.nintieth","daynum.mean","daynum.range"
24,1980,93,116,143,120.215516141013,50
24,1981,95,117,147,119.998730765227,52
24,1982,96,110,123,113.432925904634,27
24,1983,104,115,136,121.560830943308,32
24,1984,92,110,145,117.961549874775,53
24,1985,102,114,130,118.191196913033,28
24,1986,100,117,138,120.155661887595,38
24,1987,95,112,132,116.54690965205,37
24,1988,91,103,124,108.860988863989,33
24,1989,90,110,130,112.276932655696,40
24,1990,97,109,130,114.825687965956,33
24,1991,97,112,134,116.773339890443,37
24,1992,85,101,122,105.55452745143,37
24,1993,86,100,124,105.034973151739,38
24,1994,99,110,127,114.832331389488,28
24,1995,91,94,116,102.893388255425,25
24,1996,107,124,134,122.838304001469,27
24,1997,96,114,136,118.934357552004,40
24,1998,96,116,139,116.983150544888,43
24,1999,93,109,122,111.710673891962,29
24,2000,87,106,139,114.606814598274,52
24,2001,86,100,132,109.878413085827,46
24,2002,95,118,137,118.960419168301,42
24,2003,85,106,131,110.802609925096,46
24,2004,88,118,135,116.852734279459,47
24,2005,87,111,123,111.127263607102,36
24,2006,85,102,117,108.478624824097,32
24,2007,79,102,131,106.579605503962,52
24,2008,91,115,137,117.27033225774,46
24,2009,85,99,121,106.855794796266,36
24,2011,93,111,130,115.549453084482,37
24,2013,85,117,157,122.692700722458,72
24,2014,88,100,126,107.322905868973,38
24,2015,91,106,128,110.169234226763,37
25,1976,85,119,147,120.246649172933,62
25,1977,94,116,145,123.614400740211,51
25,1978,102,123,152,129.13223593635,50
25,1979,117,128,142,132.159782143425,25
25,1980,84,123,148,125.637295646535,64
25,1981,99,133,152,131.884620358753,53
25,1982,65,119,168,122.842432086035,103
25,1983,92,116,137,118.493603292969,45
25,1984,97,114,139,120.932296080253,42
25,1985,93,114,137,119.334024039453,44
25,1986,95,107,127,113.18179334505,32
25,1987,100,118,140,121.632140137407,40
25,1988,91,103,130,112.130022903576,39
25,1989,84,94,124,104.590691267989,40
25,1990,94,110,129,113.030210770781,35
25,1991,106,121,142,124.870125352763,36
25,1992,84,105,130,110.150380734204,46
25,1993,90,110,128,114.416999457184,38
25,1994,89,110,137,115.279963756071,48
25,1995,96,115,129,117.640720648908,33
25,1996,99,113,137,120.053947988539,38
25,1997,98,112,126,116.546692118942,28
